Mode,Disabled,Trades,Return %,CAGR %,Sharpe,Max DD %
SCORING (Min=4),None (Base),2786,1365.47,71.24,2.497,-15.26
SCORING (Min=4),Pillar 1,3137,1441.98,73.0,2.54,-17.25
SCORING (Min=4),Pillar 2,3365,1184.14,66.77,2.336,-17.11
SCORING (Min=4),Pillar 3,2849,1124.28,65.18,2.33,-16.65
SCORING (Min=4),Pillar 4,3469,1422.47,72.56,2.506,-17.03
SCORING (Min=4),Pillar 5,3309,1468.17,73.58,2.53,-15.47
SCORING (Min=4),Pillar 6,3542,1291.58,69.48,2.39,-19.34
STRICT,None (Base),131,-0.82,-0.16,0.011,-18.6
STRICT,Pillar 1,165,1.83,0.36,0.086,-18.74
STRICT,Pillar 2,819,461.12,41.28,1.799,-18.56
STRICT,Pillar 3,131,-0.82,-0.16,0.011,-18.6
STRICT,Pillar 4,498,20.49,3.81,0.401,-16.72
STRICT,Pillar 5,166,6.61,1.29,0.209,-15.83
STRICT,Pillar 6,180,2.54,0.5,0.106,-19.58
